clock, output
1300008,49
1300016,0
1300024,0
1300032,0
1300040,0
1300048,0
1300056,0
1300064,0
1300072,0
1300080,0
1300088,0
1300096,0
1300104,200
1300112,78
1300120,78
1300128,39
1300136,39
1300144,39
1300152,39
1300160,0
1300168,39
1300176,39
1300184,21
1300192,21
1300200,8
1300208,8
1300216,8
1300224,2
1300232,0
1300240,0
1300248,0
1300256,2
1300264,39
1300272,0
1300280,0
1300288,0
1300296,39
1300304,39
1300312,0
1300320,0
1300328,0
1300336,0
1300344,0
1300352,1
1300360,0
1300368,0
1300376,39
1300384,1
1300392,1
1300400,39
1300408,0
1300416,39
1300424,39
1300432,0
1300440,39
1300448,39
1300456,0
1300464,39
1300472,0
1300480,39
1300488,0
1300496,39
1300504,1
1300512,0
1300520,1
1300528,0
1300536,1
1300544,0
1300552,2
1300560,0
1300568,0
1300576,34
1300584,0
1300592,39
1300600,0
1300608,0
1300616,0
1300624,0
1300632,0
1300640,0
1300648,14
1300656,0
1300664,1
1300672,0
1300680,39
1300688,0
1300696,39
1300704,0
1300712,1
1300720,0
1300728,0
1300736,0
1300744,0
1300752,31
1300760,0
1300768,0
1300776,0
1300784,0
1300792,0
1300800,0
1300808,39
1300816,0
1300824,1
1300832,0
1300840,2
1300848,0
1300856,2
1300864,1
1300872,2
1300880,2
1300888,0
1300896,2
1300904,0
1300912,1
1300920,2
1300928,0
1300936,2
1300944,0
1300952,1
1300960,0
1300968,0
1300976,2
1300984,0
1300992,1
1301000,39
1301008,0
1301016,39
1301024,1
1301032,0
1301040,39
1301048,39
1301056,0
1301064,0
1301072,0
1301080,0
1301088,0
1301096,39
1301104,39
1301112,0
1301120,0
1301128,0
1301136,39
1301144,1
1301152,0
1301160,0
1301168,0
1301176,1
1301184,1
1301192,1
1301200,22
1301208,0
1301216,22
1301224,0
1301232,17
1301240,36
1301248,35
1301256,36
1301264,33
1301272,33
1301280,35
1301288,49
1301296,1
1301304,0
1301312,0
1301320,0
1301328,0
1301336,0
1301344,0
1301352,0
1301360,0
1301368,0
1301376,0
1301384,0
1301392,78
1301400,78
1301408,39
1301416,39
1301424,39
1301432,39
1301440,39
1301448,39
1301456,39
1301464,0
1301472,21
1301480,0
1301488,0
1301496,8
1301504,0
1301512,0
1301520,2
1301528,2
1301536,0
1301544,0
1301552,0
1301560,39
1301568,39
1301576,0
1301584,0
1301592,0
1301600,39
1301608,2
1301616,0
1301624,39
1301632,1
1301640,0
1301648,39
1301656,0
1301664,0
1301672,1
1301680,0
1301688,0
1301696,0
1301704,0
1301712,0
1301720,0
1301728,0
1301736,39
1301744,0
1301752,0
1301760,0
1301768,0
1301776,0
1301784,0
1301792,0
1301800,0
1301808,0
1301816,0
1301824,0
1301832,2
1301840,0
1301848,39
1301856,0
1301864,5
1301872,39
1301880,0
1301888,1
1301896,0
1301904,1
1301912,0
1301920,1
1301928,0
1301936,14
1301944,0
1301952,0
1301960,0
1301968,0
1301976,0
1301984,0
1301992,1
1302000,0
1302008,39
1302016,0
1302024,39
1302032,31
1302040,8
1302048,39
1302056,0
1302064,39
1302072,0
1302080,39
1302088,0
1302096,39
1302104,0
1302112,0
1302120,0
1302128,0
1302136,0
1302144,0
1302152,2
1302160,0
1302168,0
1302176,0
1302184,0
1302192,1
1302200,0
1302208,1
1302216,0
1302224,0
1302232,1
1302240,0
1302248,2
1302256,0
1302264,0
1302272,1
1302280,0
1302288,0
1302296,0
1302304,0
1302312,0
1302320,0
1302328,0
1302336,39
1302344,39
1302352,0
1302360,39
1302368,39
1302376,0
1302384,0
1302392,0
1302400,39
1302408,39
1302416,0
1302424,0
1302432,0
1302440,1
1302448,1
1302456,0
1302464,0
1302472,1
1302480,0
1302488,22
1302496,0
1302504,17
1302512,17
1302520,17
1302528,36
1302536,35
1302544,33
1302552,33
1302560,34
1302568,35
1302576,49
1302584,0
1302592,0
1302600,0
1302608,0
1302616,0
1302624,0
1302632,0
1302640,0
1302648,0
1302656,0
1302664,0
1302672,200
1302680,78
1302688,78
1302696,39
1302704,39
1302712,39
1302720,39
1302728,0
1302736,39
1302744,39
1302752,21
1302760,21
1302768,8
1302776,8
1302784,8
1302792,2
1302800,0
1302808,0
1302816,0
